Date,Open,High,Low,Close,Adj Close,Volume,Name,Return,Up,Down,avg_14up,avg_14down,RS_14,RSI,5MA,15MA,12Ewm,26Ewm,MACD,low_14,high_14,k_percent,r_percent,B_MA,BU,BL,dec_rsi,Signal_RSI_fuzz_system,dec_will,Signal_william_fuzz_system,prev_5MA,crossover,cross_MA,diff_MA,diff_MA_prev,fuzz_MA_strategy,Signal_Line,MACD_decision,diff_MACD,diff_MACD_prev,fuzz_MACD_strategy,dec_bollinger,diff_cl_BU,diff_cl_BL,prev_diff_cl_BU,prev_diff_cl_BL,fuzz_BB_strategy
2019-05-02,1.1201846599578855,1.1218183040618896,1.1173559427261353,1.1200841665267944,1.1200841665267944,0,EURUSD=X,-0.0013562607830761,0.0,0.0013562607830761,0.0010094305416492,0.0013904767890564,0.7259600085336376,42.061229978926775,1.117783546447754,1.1230626980463665,1.1209058972813892,1.1227073111226946,-0.0018014138413053,1.1121737957000732,1.13237464427948,39.15860660816609,-60.84139339183392,1.123523759841919,1.1336383985161336,1.1134091211677044,0,0,0,0,1.1168365955352784,,0,-0.005279151598612586,-0.006730492909749142,0,-0.00184977062204714,0,4.835678074184015e-05,0.0,0,0,-0.013554231989339138,0.006675045359090026,-0.012143984076775638,0.00784403347710505,0
2019-05-03,1.1172560453414917,1.1200717687606812,1.1141316890716553,1.1173559427261353,1.1173559427261353,0,EURUSD=X,-0.0024387022843649,0.0,0.0024387022843649,0.0007289695497,0.0015646698093681,0.4658935357066997,31.782221857066503,1.1185177564620972,1.122481401761373,1.1203597504267349,1.1223109134636904,-0.0019511630369555,1.1121737957000732,1.13237464427948,25.653115539635422,-74.34688446036458,1.123262232542038,1.1337427775150648,1.1127816875690113,0,0,0,0,1.117783546447754,,0,-0.003963645299275731,-0.005279151598612586,0,-0.0018700491050288122,-1,-8.111393192668779e-05,4.835678074184015e-05,0,0,-0.01638683478892955,0.004574255157123952,-0.013554231989339138,0.006675045359090026,0
2019-05-06,1.1187058687210083,1.1204482316970823,1.1179929971694946,1.1185808181762695,1.1185808181762695,0,EURUSD=X,0.0010956263111556,0.0010956263111556,0.0,0.0008072285719254,0.0015638638825856,0.5161757240603567,34.0445844019996,1.1192286968231202,1.1216864188512166,1.1200860685420475,1.1220346101090666,-0.0019485415670188,1.1121737957000732,1.13237464427948,31.716600671556797,-68.28339932844321,1.1230934381484985,1.1337694325581358,1.1124174437388612,0,0,0,0,1.1185177564620972,,0,-0.002457722028096354,-0.003963645299275731,0,-0.00188574759742681,0,-6.279396959199004e-05,-8.111393192668779e-05,0,0,-0.01518861438186625,0.006163374437408331,-0.01638683478892955,0.004574255157123952,0
2019-05-07,1.1204482316970823,1.121956706047058,1.1176055669784546,1.1201846599578855,1.1201846599578855,0,EURUSD=X,0.0014327914841073,0.0014327914841073,0.0,0.0009095708207902,0.0014380051812337,0.6325226311145274,38.745106441967216,1.119561982154846,1.1209992090861003,1.1201012364521763,1.1218975767645347,-0.0017963403123582,1.1121737957000732,1.130600094795227,43.47516675184746,-56.52483324815254,1.1228204488754272,1.1335010063083133,1.112139891442541,0,0,0,0,1.1192286968231202,,0,-0.001437226931254365,-0.002457722028096354,0,-0.0018678661404130882,1,7.152582805488813e-05,-6.279396959199004e-05,0,0,-0.013316346350427777,0.008044768515344414,-0.01518861438186625,0.006163374437408331,0
2019-05-08,1.118956208229065,1.1214998960494995,1.118956208229065,1.1191065311431885,1.1191065311431885,0,EURUSD=X,-0.0009629197866594,0.0,0.0009629197866594,0.0008329511545464,0.0015067851659951,0.5528002089112034,35.60021474358362,1.119062423706055,1.1203728040059409,1.1199482048661784,1.121690832644435,-0.0017426277782566,1.1121737957000732,1.1263798475265503,48.80128221265598,-51.19871778734403,1.1224409222602845,1.1330808390978826,1.1118010054226863,0,0,0,0,1.119561982154846,,0,-0.0013103802998859493,-0.001437226931254365,0,-0.0018428184679817907,0,0.00010019068972519059,7.152582805488813e-05,0,0,-0.01397430795469412,0.007305525720502137,-0.013316346350427777,0.008044768515344414,0
2019-05-09,1.1197456121444702,1.1250998973846436,1.1175681352615356,1.1198333501815796,1.1198333501815796,0,EURUSD=X,0.000649252862915,0.000649252862915,0.0,0.0008793263590403,0.001118891378657,0.7858907270299655,44.00553265299412,1.1190122604370116,1.1197141091028848,1.1199305349147015,1.1215532413508902,-0.0016227064361884,1.1121737957000732,1.1263798475265503,53.91754567043443,-46.08245432956558,1.1220500886440277,1.1324560270542123,1.111644150233843,0,0,0,0,1.119062423706055,,0,-0.0007018486658731948,-0.0013103802998859493,0,-0.0017987960616231127,0,0.00017608962543471263,0.00010019068972519059,0,0,-0.012622676872632743,0.008189199947736592,-0.01397430795469412,0.007305525720502137,0
2019-05-10,1.1218559741973877,1.1252391338348389,1.1218559741973877,1.1222084760665894,1.1222084760665894,0,EURUSD=X,0.0021187176311266,0.0021187176311266,0.0,0.0009760673586684,0.001118891378657,0.8723522026239882,46.59124503399731,1.1199827671051026,1.1196216424306231,1.1202809873996076,1.121601777255757,-0.0013207898561493,1.1121737957000732,1.1261261701583862,71.92095077793252,-28.07904922206748,1.1218567430973052,1.1320900354330574,1.111623450761553,0,0,0,-1,1.1190122604370116,bullish crossover,1,0.0003611246744794627,-0.0007018486658731948,0,-0.0017031948205283504,0,0.0003824049643790504,0.00017608962543471263,0,0,-0.009881559366468062,0.010585025305036355,-0.012622676872632743,0.008189199947736592,0
2019-05-13,1.1236711740493774,1.126341700553894,1.1224100589752195,1.1236460208892822,1.1236460208892822,0,EURUSD=X,0.0012801764504052,0.0012801764504052,0.0,0.0009758868836111,0.001118891378657,0.8721909045205912,46.58664361709052,1.1209958076477051,1.1195677359898886,1.1207986848595577,1.1217532027100925,-0.0009545178505347,1.1121737957000732,1.126341700553894,80.97333591363831,-19.026664086361684,1.1215137660503387,1.1309557559901595,1.1120717761105177,0,0,-1,-1,1.1199827671051026,,0,0.0014280716578165542,0.0003611246744794627,0,-0.0015534594265296205,0,0.0005989415759949206,0.0003824049643790504,0,0,-0.00730973510087729,0.011574244778764564,-0.009881559366468062,0.010585025305036355,0
2019-05-14,1.1232421398162842,1.124606370925903,1.120485782623291,1.1232547760009766,1.1232547760009766,0,EURUSD=X,-0.0003482529293694,0.0,0.0003482529293694,0.0009758868836111,0.0009237512112548,1.0564390841614977,51.37225275954406,1.1216098308563232,1.1193915287653604,1.1211765450351605,1.1218644303612688,-0.0006878853261085,1.1121737957000732,1.126341700553894,78.2118486482848,-21.7881513517152,1.121151864528656,1.1296527198640731,1.112651009193239,0,0,0,-1,1.1209958076477051,,0,0.0022183020909627427,0.0014280716578165542,0,-0.0013803446064453967,0,0.0006924592803368967,0.0005989415759949206,0,0,-0.006397943863096556,0.010603766807737669,-0.00730973510087729,0.011574244778764564,0
2019-05-15,1.120360255241394,1.1222715377807615,1.1180429458618164,1.1204482316970823,1.1204482316970823,0,EURUSD=X,-0.0025017087894482,0.0,0.0025017087894482,0.0009758868836111,0.0006500952880289,1.501144373111834,60.01830159224932,1.121878170967102,1.1192590634028117,1.1210644968293022,1.1217595267565144,-0.0006950299272121,1.112297534942627,1.126341700553894,58.03617658792315,-41.963823412076856,1.120749145746231,1.1285151255726655,1.1129831659197966,0,0,0,0,1.1216098308563232,,0,0.0026191075642902906,0.0022183020909627427,0,-0.0012432816705987373,0,0.0005482517433866373,0.0006924592803368967,0,0,-0.008066893875583236,0.007465065777285673,-0.006397943863096556,0.010603766807737669,0
